ParticipantID,StatementID,Rating,RatingType
5,16,5,Feasibility
5,17,5,Feasibility
5,18,5,Feasibility
5,19,4,Feasibility
5,20,2,Feasibility
5,21,5,Feasibility
5,22,5,Feasibility
5,23,5,Feasibility
5,24,5,Feasibility
5,25,4,Feasibility
5,26,2,Feasibility
5,27,5,Feasibility
5,28,3,Feasibility
5,29,2,Feasibility
5,30,5,Feasibility
5,31,3,Feasibility
5,32,3,Feasibility
5,33,3,Feasibility
5,34,5,Feasibility
5,35,4,Feasibility
5,36,4,Feasibility
5,37,5,Feasibility
5,38,3,Feasibility
5,39,4,Feasibility
5,40,4,Feasibility
5,41,5,Feasibility
5,42,5,Feasibility
5,43,5,Feasibility
5,44,4,Feasibility
5,45,5,Feasibility
5,46,4,Feasibility
5,47,2,Feasibility
5,48,3,Feasibility
5,49,3,Feasibility
5,50,5,Feasibility
5,51,5,Feasibility
5,52,4,Feasibility
5,53,5,Feasibility
5,54,3,Feasibility
5,55,3,Feasibility
5,56,4,Feasibility
5,57,5,Feasibility
5,58,5,Feasibility
5,59,5,Feasibility
5,60,2,Feasibility
5,61,3,Feasibility
5,62,5,Feasibility
5,63,3,Feasibility
5,64,4,Feasibility
5,65,3,Feasibility
5,66,4,Feasibility
5,67,3,Feasibility
5,68,4,Feasibility
5,69,5,Feasibility
5,70,5,Feasibility
5,71,2,Feasibility
5,72,5,Feasibility
5,73,4,Feasibility
5,74,4,Feasibility
5,75,3,Feasibility
5,76,5,Feasibility
5,77,2,Feasibility
5,78,2,Feasibility
5,79,5,Feasibility
5,80,5,Feasibility
5,81,3,Feasibility
5,82,1,Feasibility
5,83,2,Feasibility
5,84,5,Feasibility
5,85,4,Feasibility
5,86,4,Feasibility
5,87,5,Feasibility
5,88,4,Feasibility
5,89,5,Feasibility
5,90,5,Feasibility
5,91,2,Feasibility
5,92,3,Feasibility
5,93,3,Feasibility
5,94,4,Feasibility
5,95,3,Feasibility
5,96,2,Feasibility
5,97,5,Feasibility
5,98,5,Feasibility
5,99,2,Feasibility
5,100,5,Feasibility
6,1,5,Importance
6,2,5,Importance
6,3,5,Importance
6,4,5,Importance
6,5,4,Importance
6,6,4,Importance
6,7,5,Importance
6,8,5,Importance
6,9,5,Importance
6,10,5,Importance
6,11,4,Importance
6,12,4,Importance
6,13,3,Importance
6,14,4,Importance
6,15,4,Importance
6,16,4,Importance
6,17,5,Importance
6,18,5,Importance
6,19,5,Importance
6,20,3,Importance
6,21,5,Importance
6,22,5,Importance
6,23,5,Importance
6,24,5,Importance
6,25,2,Importance
6,26,4,Importance
6,27,5,Importance
6,28,5,Importance
6,29,5,Importance
6,30,5,Importance
6,31,5,Importance
6,32,5,Importance
6,33,5,Importance
6,34,5,Importance
6,35,5,Importance
6,36,5,Importance
